Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR,Name-additional
1,Cory Abbott,26,WSN,48.0,16,7,7,0,0,0,0,0,,0,0,2,0,0%,9,.808,0,0,7,2,0,5,1,6,2,0,2,0,3.9,17,abbotco01
2,Albert Abreu,26,TOT,38.2,33,33,11,2,2,1,0,1,0%,2,1,13,7,54%,,.581,3,6,24,6,2,25,11,22,13,6,15,2,3.5,21,abreual01
3,Albert Abreu,26,TEX,8.2,7,7,0,0,0,0,0,0,,0,0,0,0,,6,.551,0,2,5,1,1,5,0,7,3,1,4,0,3.7,26,abreual01
4,Albert Abreu,26,KCR,4.1,4,4,3,0,0,0,0,0,,0,0,3,1,33%,9,.055,0,0,4,1,0,3,2,2,2,1,2,1,3.3,19,abreual01
5,Albert Abreu,26,NYY,25.2,22,22,8,2,2,1,0,1,0%,2,1,10,6,60%,8,.700,3,4,15,4,1,17,9,13,8,4,9,1,3.5,20,abreual01
6,Bryan Abreu,25,HOU,60.1,55,55,18,4,0,2,2,0,100%,10,8,27,10,37%,9,.801,13,14,28,28,7,20,15,40,17,11,17,5,3.3,19,abreubr01
7,Domingo Acevedo,28,OAK,67.2,70,70,12,4,4,8,4,4,50%,29,20,30,10,33%,7,1.247,30,21,19,34,14,22,20,50,9,17,11,11,2.9,14,acevedo01
8,Jason Adam,30,TBR,63.1,67,67,16,2,3,12,8,4,67%,34,22,31,3,10%,8,1.575,36,18,13,45,16,6,20,47,8,13,8,22,2.8,14,adamja01
9,Austin Adams,31,SDP,2.1,2,2,0,1,0,0,0,0,,0,0,0,0,,4,.243,0,0,2,1,0,1,0,2,1,0,1,0,3.5,24,adamsau02
10,Ehire Adrianza,32,WSN,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,1,0,0,1,0,1,0,0,0,0,3.0,12,adriaeh01
11,Keegan Akin,27,BAL,81.2,45,44,10,3,2,2,2,0,100%,5,3,27,10,37%,7,.734,7,8,29,13,4,27,19,25,29,6,33,4,5.4,27,akinke01
12,Hanser Alberto,29,LAD,11.0,10,10,10,0,0,0,0,0,,0,0,0,0,,9,.002,0,0,10,8,0,2,0,10,1,0,1,2,3.3,15,alberha01
13,Jorge Alcala,26,MIN,2.1,2,2,0,0,0,0,0,0,,0,0,1,0,0%,7,.791,0,1,1,1,0,1,1,1,1,0,1,0,3.5,20,alcaljo01
14,Jason Alexander,29,MIL,71.2,18,7,3,0,0,0,0,0,,0,0,3,1,33%,8,.940,0,2,5,2,1,4,2,5,4,2,4,0,6.7,36,alexaja01
15,Scott Alexander,32,SFG,17.1,17,13,3,0,0,2,2,0,100%,7,5,8,0,0%,8,1.177,5,3,5,8,1,4,7,6,3,3,5,4,3.0,12,alexasc02
16,Tyler Alexander,27,DET,101.0,27,10,1,2,0,0,0,0,,1,1,13,6,46%,8,.819,2,3,5,1,1,8,5,5,8,1,8,0,6.3,29,alexaty01
17,A.J. Alexy,24,TEX,7.0,4,4,0,1,1,0,0,0,,0,0,2,1,50%,5,.787,0,2,2,0,1,3,2,2,3,1,4,0,5.3,38,alexyaj01
18,Kolby Allard,24,TEX,21.0,10,10,4,1,2,1,1,0,100%,1,0,6,3,50%,12,.579,1,4,5,2,2,6,3,7,6,2,6,1,6.3,30,allarko01
19,Cam Alldred,25,PIT,1.0,1,1,0,0,0,0,0,0,,0,0,0,0,,6,.513,0,0,1,0,0,1,0,1,0,0,1,0,3.0,16,alldrca01
20,Logan Allen,25,TOT,7.2,7,7,0,1,0,0,0,0,,0,0,4,2,50%,,.665,1,2,4,1,1,5,2,5,2,3,3,0,3.3,23,allenlo01
21,Logan Allen,25,CLE,6.0,4,4,0,1,0,0,0,0,,0,0,3,2,67%,5,.844,1,2,1,1,1,2,1,3,2,1,3,0,4.5,31,allenlo01
22,Logan Allen,25,BAL,1.2,3,3,0,0,0,0,0,0,,0,0,1,0,0%,6,.129,0,0,3,0,0,3,1,2,0,2,0,0,1.7,13,allenlo01
23,Yency Almonte,28,LAD,35.1,33,33,3,0,0,2,1,1,50%,11,9,7,2,29%,7,1.078,8,14,11,15,5,13,5,28,8,6,9,5,3.2,14,almonye01
24,José Alvarado,27,PHI,51.0,59,59,8,4,2,4,2,2,50%,26,22,25,7,28%,7,1.487,27,17,15,31,13,15,17,42,3,18,4,12,2.6,15,alvarjo03
25,Jose Alvarez,33,SFG,15.1,21,21,6,2,1,3,1,2,33%,4,1,13,6,46%,9,1.130,5,6,10,8,4,9,10,11,1,11,2,3,2.2,13,alvarjo02
26,R.J. Alvarez,31,NYM,2.1,1,1,0,0,1,0,0,0,,0,0,0,0,,3,.745,0,1,0,0,1,0,0,1,1,0,1,0,7.0,51,alvarrj01
27,Adbert Alzolay,27,CHC,13.1,6,6,1,2,1,0,0,0,,1,1,4,2,50%,7,1.183,3,3,0,2,3,1,3,3,5,0,6,0,6.7,33,alzolad01
28,Chase Anderson,34,CIN,24.0,9,2,1,0,1,0,0,0,,0,0,2,1,50%,13,.999,1,0,1,0,1,1,2,0,0,1,0,0,2.5,16,anderch01
29,Shaun Anderson,27,TOR,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.101,0,0,1,1,0,0,0,1,0,0,0,0,3.0,21,andersh01
30,Tyler Anderson,32,LAD,178.2,30,2,0,1,0,0,0,0,,0,0,0,0,,5,.829,0,2,0,1,1,0,0,2,2,0,2,0,12.0,57,anderty01
31,Mark Appel,30,PHI,10.1,6,6,3,0,0,0,0,0,,0,0,0,0,,9,.298,0,1,5,3,0,3,0,6,4,0,4,1,5.2,25,appelma01
32,Víctor Arano,27,WSN,42.0,43,43,7,1,1,2,1,1,50%,9,7,25,12,48%,7,.899,13,8,22,15,4,24,17,26,7,10,8,6,2.9,16,aranovi01
