Rk,Name,Age,Tm,IP,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo,Name-additional
1,Cory Abbott,26,WSN,48.0,-7.1,-0.7,225,-0.7,2.8,-3.5,.81,-1.2,0.3,0.0%,0.0%,0.0%,.00,,-6.0,-0.6,0.94,-11.8,0,0,7,abbotco01
2,Albert Abreu,26,TOT,38.2,3.5,0.4,184,-0.5,1.6,-2.1,.58,-0.4,-0.5,-0.1%,0.4%,-0.5%,.22,-0.3%,-2.8,-0.3,1.00,-4.9,3,6,24,abreual01
3,Albert Abreu,26,TEX,8.2,1.1,0.1,44,0.0,0.4,-0.4,.55,-0.2,0.1,0.0%,0.2%,-0.2%,.43,0.1%,-1.8,-0.2,0.97,-2.7,0,2,5,abreual01
4,Albert Abreu,26,KCR,4.1,0.2,0.0,23,0.0,0.0,0.0,.06,-0.2,-0.1,0.0%,0.0%,0.0%,.01,-0.2%,-0.6,-0.1,1.22,-2.2,0,0,4,abreual01
5,Albert Abreu,26,NYY,25.2,2.2,0.2,117,-0.5,1.2,-1.7,.70,-0.1,-0.6,-0.1%,0.2%,-0.3%,.18,-0.4%,-0.3,0.0,0.96,0.1,3,4,15,abreual01
6,Bryan Abreu,25,HOU,60.1,12.3,1.3,262,0.8,3.7,-2.9,.80,0.5,0.5,0.0%,1.1%,-1.0%,.41,-0.1%,6.0,0.6,1.03,10.6,13,14,28,abreubr01
7,Domingo Acevedo,28,OAK,67.2,4.0,0.4,273,0.7,6.5,-5.8,1.25,0.4,0.2,-0.2%,1.0%,-1.2%,.33,-0.7%,7.1,0.8,0.95,5.5,30,21,19,acevedo01
8,Jason Adam,30,TBR,63.1,15.7,1.6,252,2.7,7.4,-4.7,1.58,1.9,-0.2,1.9%,4.4%,-2.5%,1.50,0.1%,22.4,2.4,0.95,19.7,36,18,13,adamja01
9,Austin Adams,31,SDP,2.1,1.2,0.1,9,0.0,0.1,0.0,.24,0.1,0.0,0.0%,0.0%,0.0%,.26,0.0%,1.2,0.1,0.84,0.9,0,0,2,adamsau02
10,Joan Adon,23,WSN,64.2,-22.5,-2.1,321,-2.1,4.6,-6.7,1.01,-1.3,-0.8,-0.5%,1.2%,-1.6%,.43,-0.3%,-21.7,-2.1,1.03,-14.7,0,0,0,adonjo01
11,Ehire Adrianza,32,WSN,1.0,0.6,0.1,4,0.0,0.0,0.0,.00,,,0.0%,0.0%,0.0%,.00,,0.5,0.0,1.04,0.3,0,0,1,adriaeh01
12,Keegan Akin,27,BAL,81.2,5.9,0.6,332,0.6,4.2,-3.6,.73,0.8,0.1,0.2%,1.6%,-1.3%,.43,0.1%,5.3,0.5,0.93,7.5,7,8,29,akinke01
13,Hanser Alberto,29,LAD,11.0,0.5,0.1,48,0.0,0.0,0.0,.00,0.1,0.4,0.0%,0.0%,0.0%,.00,,0.7,0.1,0.91,-0.3,0,0,10,alberha01
14,Jorge Alcala,26,MIN,2.1,1.2,0.1,10,0.1,0.2,-0.1,.79,0.0,0.1,0.0%,0.1%,-0.1%,.72,0.0%,1.1,0.1,1.10,0.3,0,1,1,alcaljo01
15,Sandy Alcantara,26,MIA,228.2,43.5,4.8,920,5.4,19.7,-14.3,1.13,4.4,0.4,1.5%,4.8%,-3.3%,.45,1.0%,44.9,5.0,0.87,45.2,0,0,0,alcansa01
16,Jason Alexander,29,MIL,71.2,-11.9,-1.2,327,-0.9,5.1,-5.9,.94,-1.3,0.3,-0.6%,3.6%,-4.2%,1.11,0.2%,-11.8,-1.2,0.97,-13.6,0,2,5,alexaja01
17,Scott Alexander,32,SFG,17.1,6.1,0.6,64,0.9,1.6,-0.7,1.18,0.6,0.1,0.0%,0.0%,0.0%,.02,0.1%,8.7,0.9,0.90,6.9,5,3,5,alexasc02
18,Tyler Alexander,27,DET,101.0,-11.3,-1.1,436,-1.8,5.8,-7.6,.82,-1.4,-0.7,-0.3%,0.5%,-0.8%,.14,-2.4%,-14.2,-1.4,0.91,-13.8,2,3,5,alexaty01
19,A.J. Alexy,24,TEX,7.0,-5.3,-0.5,40,-0.3,0.3,-0.7,.79,-0.4,0.0,0.0%,0.0%,0.0%,.08,-0.3%,-4.1,-0.4,1.06,-4.1,0,2,2,alexyaj01
20,Kolby Allard,24,TEX,21.0,-6.9,-0.7,88,-0.1,1.0,-1.1,.58,-0.5,0.4,-0.1%,0.3%,-0.4%,.29,0.1%,-6.1,-0.6,0.94,-3.9,1,4,5,allarko01
21,Cam Alldred,25,PIT,1.0,0.6,0.1,4,0.0,0.0,0.0,.51,0.0,0.0,0.0%,0.0%,0.0%,.35,0.0%,0.1,0.0,0.68,0.4,0,0,1,alldrca01
22,Logan Allen,25,TOT,7.2,-1.1,-0.1,40,-0.2,0.4,-0.6,.67,-0.3,0.0,-0.1%,0.2%,-0.3%,.66,0.0%,-3.6,-0.4,1.04,-3.8,1,2,4,allenlo01
23,Logan Allen,25,CLE,6.0,-0.2,0.0,30,-0.2,0.4,-0.6,.84,-0.2,0.0,-0.1%,0.2%,-0.3%,.85,0.0%,-1.9,-0.2,1.04,-1.9,1,2,1,allenlo01
24,Logan Allen,25,BAL,1.2,-1.0,-0.1,10,0.0,0.0,0.0,.13,-0.1,-0.1,0.0%,0.0%,0.0%,.08,-0.1%,-1.7,-0.2,1.04,-1.9,0,0,3,allenlo01
25,Yency Almonte,28,LAD,35.1,12.4,1.3,137,1.4,3.0,-1.6,1.08,1.2,0.1,0.6%,1.6%,-1.0%,.94,0.0%,13.0,1.3,0.87,12.8,8,14,11,almonye01
26,José Alvarado,27,PHI,51.0,4.5,0.5,227,0.7,5.7,-5.1,1.49,0.5,-0.1,0.3%,2.8%,-2.6%,1.25,-0.1%,4.9,0.5,1.01,4.9,27,17,15,alvarjo03
27,Jose Alvarez,33,SFG,15.1,-2.1,-0.2,77,-0.5,1.3,-1.8,1.13,-0.4,-0.1,-0.3%,0.8%,-1.2%,1.22,-0.1%,-4.9,-0.5,1.13,-5.0,5,6,10,alvarjo02
28,R.J. Alvarez,31,NYM,2.1,-1.8,-0.2,14,-0.2,0.1,-0.4,.75,-0.3,0.0,-0.2%,0.1%,-0.3%,.85,0.0%,-2.2,-0.2,1.11,-3.0,0,1,0,alvarrj01
29,Adbert Alzolay,27,CHC,13.1,1.4,0.2,52,0.2,1.2,-1.0,1.18,0.4,-0.2,0.0%,0.0%,0.0%,.00,,1.0,0.1,0.87,3.9,3,3,0,alzolad01
30,Chase Anderson,34,CIN,24.0,-4.3,-0.4,105,-0.4,1.5,-1.9,1.00,0.0,-0.4,0.0%,0.0%,0.0%,.00,,-3.6,-0.3,0.90,0.1,1,0,1,anderch01
31,Ian Anderson,24,ATL,111.2,-9.3,-0.9,504,0.1,7.5,-7.4,.88,-0.3,0.4,-0.1%,4.1%,-4.2%,.82,0.1%,-3.7,-0.4,0.94,-4.1,0,0,0,anderia01
32,Shaun Anderson,27,TOR,1.0,-1.3,-0.1,8,0.0,0.0,0.0,.10,-0.1,0.1,0.0%,0.0%,0.0%,.10,0.1%,-1.5,-0.1,1.44,-1.4,0,0,1,andersh01
33,Tyler Anderson,32,LAD,178.2,30.6,3.3,717,2.3,11.2,-8.9,.83,2.8,0.0,0.8%,4.0%,-3.2%,.48,0.1%,32.0,3.4,0.86,34.2,0,2,0,anderty01
34,Mark Appel,30,PHI,10.1,2.9,0.3,40,0.0,0.3,-0.2,.30,0.1,0.0,0.0%,0.1%,-0.1%,.29,0.0%,3.0,0.3,0.83,2.6,0,1,5,appelma01
35,Víctor Arano,27,WSN,42.0,-6.1,-0.6,200,0.2,3.2,-2.9,.90,0.1,0.2,0.1%,0.5%,-0.4%,.24,0.1%,-9.9,-1.0,1.11,-5.1,13,8,22,aranovi01
36,Chris Archer,33,MIN,102.2,-7.6,-0.8,444,-0.7,7.3,-8.1,.98,-0.2,-0.6,-0.4%,4.9%,-5.3%,1.10,-0.3%,-4.5,-0.5,0.90,-1.7,0,0,0,archech01
37,Orlando Arcia,27,ATL,1.0,0.6,0.1,4,0.0,0.0,0.0,.00,,,0.0%,0.0%,0.0%,.00,,0.5,0.1,1.03,0.4,0,0,1,arciaor01
38,Kohei Arihara,29,TEX,20.0,-11.5,-1.1,108,-0.8,1.3,-2.1,.83,-1.1,0.1,0.0%,0.0%,0.0%,.02,-0.1%,-13.1,-1.2,1.11,-11.1,0,0,1,arihako01
39,Shawn Armstrong,31,TOT,61.2,-4.1,-0.4,277,-1.3,2.9,-4.3,.70,-0.5,-1.4,-0.5%,1.7%,-2.2%,.64,-0.5%,-7.8,-0.8,0.98,-5.4,10,5,32,armstsh01
40,Shawn Armstrong,31,MIA,6.2,-5.4,-0.5,36,-0.4,0.2,-0.6,.53,-0.3,-0.3,-0.2%,0.1%,-0.3%,.45,-0.2%,-6.1,-0.6,1.08,-5.0,0,1,6,armstsh01
41,Shawn Armstrong,31,TBR,55.0,1.3,0.1,241,-1.0,2.7,-3.7,.72,-0.1,-1.2,-0.4%,1.6%,-2.0%,.67,-0.5%,-1.7,-0.2,0.97,-0.4,10,4,26,armstsh01
42,Aaron Ashby,24,MIL,107.1,-8.0,-0.8,490,-2.0,8.6,-10.7,1.12,-1.3,-0.5,-1.4%,5.7%,-7.1%,1.25,-0.4%,-11.2,-1.1,0.98,-14.0,0,5,3,ashbyaa01
43,Graham Ashcraft,24,CIN,105.0,-3.8,-0.4,481,-0.3,8.5,-8.8,1.06,0.0,-0.3,0.0%,0.2%,-0.2%,.05,0.6%,-5.0,-0.5,0.96,-0.6,0,0,0,ashcrgr01
44,Javier Assad,24,CHC,37.2,4.4,0.5,174,0.3,2.9,-2.6,1.00,0.2,0.1,0.0%,0.0%,0.0%,.00,,3.4,0.4,0.91,2.7,0,0,1,assadja01
45,Willians Astudillo,30,MIA,2.0,1.1,0.1,7,0.0,0.0,0.0,.00,,,0.0%,0.0%,0.0%,.00,,1.0,0.1,0.95,0.7,0,0,2,astudwi01
46,Pedro Avila,25,SDP,4.0,-0.6,-0.1,19,0.0,0.0,0.0,.01,0.0,-0.7,0.0%,0.0%,0.0%,.01,-0.4%,-1.2,-0.1,1.06,-0.5,0,0,2,avilape01
47,Michel Báez,26,SDP,2.0,1.1,0.1,8,0.0,0.0,0.0,.00,0.0,0.0,0.0%,0.0%,0.0%,.00,0.0%,0.9,0.1,0.69,1.1,0,0,2,baezmi01
48,Pedro Báez,34,HOU,2.1,-3.1,-0.3,17,0.0,0.0,0.0,.04,-0.2,-0.1,0.0%,0.0%,0.0%,.04,-0.1%,-5.2,-0.5,1.18,-3.5,0,0,3,baezpe01
49,Bryan Baker,27,BAL,69.2,4.3,0.4,296,-0.3,5.1,-5.4,1.06,1.0,-1.3,-0.4%,2.0%,-2.3%,.69,-1.0%,5.7,0.6,0.99,9.9,19,24,21,bakerbr01
50,Anthony Banda,28,TOT,26.2,-6.5,-0.6,141,-0.8,1.4,-2.2,.73,-0.7,-0.3,-0.2%,0.5%,-0.7%,.44,-0.1%,-11.7,-1.1,1.12,-7.6,5,9,17,bandaan01
