"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
1347,640444,"Crowe, Wil",1380,97.6,0.238,0.113,0.284,0.351,0.307,0.315,0.249,67,282,86.9,9.6,2322,89.6,89.99,170,616,731,0.4000000000000057,6.5,106,152,116,148,304,323,299
1330,656271,"Burke, Brock",1330,100,0.211,0.144,0.271,0.356,0.278,0.284,0.219,63,298,87.7,12.6,2209,92.5,93.43,154,626,704,0.9000000000000057,6.93,112,153,118,148,301,321,294
1273,656945,"Scott, Tanner",1273,100,0.236,0.112,0.347,0.348,0.321,0.316,0.223,55,233,85.5,7.5,2668,92.1,91.89,208,583,690,-0.19999999999998863,6.24,105,151,117,148,302,320,295
1248,519043,"Moore, Matt",1248,100,0.187,0.088,0.257,0.275,0.257,0.263,0.187,49,262,87.1,15.3,2342,88.5,87.97,197,633,615,-0.5,6.17,110,153,118,147,300,320,295
1205,669395,"Coleman, Dylan",1205,100,0.194,0.112,0.247,0.306,0.282,0.302,0.211,47,242,86.1,12.6,2457,91.5,92.08,167,535,670,0.5999999999999943,6.58,107,155,117,147,301,324,301
1198,605130,"Barlow, Scott",1198,100,0.198,0.126,0.24,0.324,0.261,0.269,0.201,52,262,86.2,11.5,2466,84.7,85.6,180,553,645,0.8999999999999915,6.8,110,157,118,148,301,325,302
1193,592761,"Smith, Caleb",1234,96.7,0.216,0.192,0.239,0.408,0.318,0.295,0.207,55,255,85,24.1,2334,87.8,86.6,169,588,605,-1.2000000000000028,5.71,110,152,124,148,299,321,295
1193,669211,"Akin, Keegan",1235,96.6,0.227,0.146,0.266,0.373,0.283,0.299,0.245,67,295,87.1,7,2177,89.3,88.42,160,634,559,-0.8999999999999915,5.86,108,157,116,150,300,321,296
1184,445926,"Chavez, Jesse",1202,98.5,0.259,0.167,0.33,0.426,0.321,0.315,0.259,68,263,89.6,12.5,2110,89,89.05,133,540,643,0.09999999999999432,6.2,113,154,121,149,303,323,297
1175,518553,"Cishek, Steve",1175,100,0.223,0.157,0.267,0.38,0.316,0.329,0.233,54,242,86.2,14.7,2308,84.7,86.55,131,502,673,1.8999999999999915,7.6,111,154,121,147,300,314,294
1174,608328,"De Jong, Chase",1174,100,0.204,0.176,0.225,0.38,0.3,0.306,0.214,52,255,88.1,20.3,2442,86.6,85.93,132,528,646,-0.6999999999999886,5.92,109,152,117,148,302,323,297
1172,518617,"Diekman, Jake",1172,100,0.241,0.176,0.328,0.417,0.353,0.319,0.209,52,216,89.1,15.1,2453,90.5,90.25,164,501,671,-0.20000000000000284,6.33,109,151,115,148,292,325,293
1166,643511,"Rogers, Tyler",1166,100,0.253,0.111,0.294,0.365,0.302,0.286,0.24,73,288,83.9,1.2,2102,78.1,77,100,522,644,-1.0999999999999943,5.96,111,150,113,148,297,322,292
1161,605347,"López, Jorge",1161,100,0.206,0.093,0.268,0.3,0.27,0.284,0.211,53,257,87.1,1.3,2075,92.8,92.83,132,544,617,0,6.33,108,155,114,148,303,323,293
1157,643377,"Jax, Griffin",1157,100,0.212,0.121,0.271,0.333,0.265,0.278,0.22,56,264,87.8,10.6,2514,89.8,89.13,167,565,592,-0.7000000000000028,5.87,110,156,119,149,296,329,291
1153,592858,"Wick, Rowan",1153,100,0.305,0.17,0.378,0.475,0.365,0.353,0.279,79,259,87.8,10.8,2320,90,90.41,129,549,604,0.4000000000000057,6.65,107,148,115,152,297,320,293
1137,475479,"Phelps, David",1151,98.8,0.219,0.082,0.293,0.3,0.284,0.305,0.229,51,233,87.3,15.9,2391,88.8,87.12,88,456,681,-1.7000000000000028,5.28,109,154,120,148,297,319,295
1129,541640,"Ramírez, Erasmo",1222,92.4,0.242,0.128,0.269,0.369,0.282,0.289,0.25,72,298,88,11.2,2298,90.4,90.49,127,584,545,0.09999999999999432,6.4,113,155,125,147,301,317,297
1126,641941,"Pagán, Emilio",1126,100,0.245,0.212,0.32,0.457,0.334,0.307,0.227,60,245,88.8,12.9,2246,91.3,92.07,179,582,544,0.7999999999999972,6.72,110,156,118,149,296,329,291
1121,641329,"Baker, Bryan",1181,94.9,0.23,0.077,0.31,0.306,0.275,0.28,0.229,57,248,89.2,11.7,2282,91.7,92,137,506,615,0.29999999999999716,6.49,107,154,115,148,304,321,293
1121,666808,"Doval, Camilo",1121,100,0.218,0.101,0.298,0.319,0.278,0.266,0.199,54,248,85.6,-1.3,2537,94.1,94.86,162,527,594,0.8000000000000114,6.58,111,151,115,149,297,322,296
1119,656793,"Nelson, Nick",1204,92.9,0.253,0.1,0.321,0.353,0.307,0.303,0.231,61,241,87.1,15.6,2031,91.7,91.41,142,526,593,-0.29999999999999716,6.22,109,148,117,144,293,325,290
1115,614179,"Ruiz, José",1115,100,0.231,0.179,0.284,0.41,0.323,0.321,0.229,53,229,89.1,12.8,2206,92.2,91.55,146,500,615,-0.7000000000000028,5.89,109,151,114,147,298,324,297
1111,621345,"Minter, A.J.",1111,100,0.198,0.109,0.289,0.306,0.246,0.242,0.182,49,248,87.2,17.6,2342,93,92.94,189,573,538,-0.09999999999999432,6.21,112,153,120,150,307,323,296
1102,642397,"Soto, Gregory",1102,100,0.225,0.092,0.296,0.317,0.302,0.314,0.223,49,218,90.8,7,2372,96.3,97.04,133,518,584,0.7000000000000028,6.69,107,152,112,145,304,331,293
1099,519326,"Strickland, Hunter",1099,100,0.253,0.183,0.301,0.436,0.346,0.354,0.254,61,241,89.8,17.7,2505,90.8,89.14,146,520,579,-1.7000000000000028,6.02,112,150,121,146,291,319,290
1093,606160,"Montero, Rafael",1093,100,0.193,0.074,0.262,0.267,0.241,0.257,0.204,47,243,85.6,7.6,2258,94.2,93.69,142,503,590,-0.5,6.13,114,154,115,149,294,324,293
1090,502202,"Boxberger, Brad",1090,100,0.223,0.12,0.284,0.343,0.288,0.289,0.211,52,233,85,17,2165,88.9,87.89,114,468,622,-1,5.62,110,150,118,145,297,320,297
1089,664208,"Maton, Phil",1089,100,0.237,0.171,0.291,0.408,0.321,0.32,0.246,58,245,84.3,13.1,2666,83.9,84.86,159,529,559,1,7.12,112,152,116,148,293,323,292
1088,571948,"Milner, Hoby",1088,100,0.25,0.127,0.315,0.377,0.302,0.287,0.235,61,244,84.1,5.5,1913,84.3,84.35,106,452,636,0.10000000000000853,6.54,109,151,119,146,295,317,295
1086,543521,"McHugh, Collin",1086,100,0.203,0.096,0.266,0.299,0.247,0.273,0.223,51,251,86.6,15.4,2648,84.2,84.57,147,543,543,0.3999999999999915,6.57,112,152,126,145,305,324,299
1085,573124,"Rogers, Taylor",1085,100,0.238,0.167,0.329,0.406,0.315,0.313,0.234,57,239,87.8,12.4,2468,86.6,85.6,147,475,610,-1,5.67,110,153,117,147,297,323,300
1083,670950,"Richards, Trevor",1163,93.1,0.234,0.167,0.303,0.401,0.322,0.323,0.227,52,222,88.3,16.3,2305,88.4,88.45,167,484,599,0.09999999999999432,6.41,110,165,122,150,290,321,299
1079,607625,"Lugo, Seth",1079,100,0.233,0.145,0.283,0.378,0.292,0.29,0.232,58,249,87.8,11.1,2622,88.6,87.72,107,460,619,-0.8999999999999915,5.87,111,155,118,149,300,327,301
1077,664747,"Díaz, Alexis",1077,100,0.131,0.085,0.18,0.216,0.223,0.26,0.159,28,213,85.8,20.3,2688,92.6,92.25,193,529,548,-0.3999999999999915,7.47,113,152,120,147,291,316,290
1077,518886,"Kimbrel, Craig",1077,100,0.227,0.124,0.313,0.351,0.301,0.292,0.205,51,225,89.1,14.8,2351,92.6,93.23,142,486,591,0.6000000000000085,6.69,112,155,119,148,299,318,295
1077,622253,"Tate, Dillon",1077,100,0.213,0.127,0.251,0.341,0.27,0.277,0.227,57,267,87.1,-0.1,2010,88.2,88.33,122,525,552,0.09999999999999432,6.41,107,156,116,148,304,322,295
1072,640462,"Puk, A.J.",1072,100,0.217,0.139,0.286,0.357,0.296,0.299,0.222,53,244,85.7,10.8,2246,92.9,94.11,148,510,562,1.1999999999999886,7.06,110,152,118,149,299,320,296
1070,608718,"Suter, Brent",1070,100,0.236,0.171,0.266,0.407,0.313,0.3,0.242,58,246,85,12.1,1983,83.8,85.34,134,501,569,1.5,7.14,109,150,118,145,297,317,295
1069,608717,"Stratton, Chris",1100,97.2,0.294,0.113,0.371,0.408,0.335,0.307,0.251,70,238,88.8,11.9,2807,87.7,88.3,138,513,556,0.5999999999999943,6.55,108,150,115,147,303,321,299
1068,642207,"Williams, Devin",1068,100,0.151,0.054,0.266,0.205,0.225,0.223,0.147,31,205,84.3,9.4,2546,87.5,89.1,205,502,566,1.5999999999999943,7.43,111,150,118,146,297,320,296
1060,502085,"Robertson, David",1060,100,0.173,0.124,0.237,0.298,0.27,0.273,0.176,39,225,88.3,13.1,2627,88.8,89.33,155,469,591,0.5,6.65,110,150,116,153,296,324,294
1057,493603,"Ottavino, Adam",1057,100,0.204,0.119,0.276,0.323,0.26,0.24,0.19,48,235,84.8,7.6,2460,87.9,88.38,139,466,591,0.5,6.82,111,154,118,147,299,325,298
1053,640448,"Finnegan, Kyle",1053,100,0.221,0.16,0.269,0.381,0.288,0.283,0.222,54,244,89.7,7.8,1990,95.3,95.76,144,519,533,0.5,6.56,116,155,122,147,303,319,300
1047,642545,"Barria, Jaime",1123,93.2,0.219,0.175,0.234,0.394,0.287,0.313,0.244,60,274,87.2,15.3,2121,87.8,87.42,128,543,504,-0.3999999999999915,6.03,113,154,117,152,297,323,293
1046,656638,"Lange, Alex",1046,100,0.203,0.108,0.288,0.312,0.282,0.283,0.202,47,231,85.4,4,2103,89.7,89.88,204,463,583,0.20000000000000284,6.44,109,155,115,146,303,330,295
1044,643256,"Cimber, Adam",1044,100,0.248,0.12,0.294,0.368,0.294,0.297,0.252,66,266,87.3,11.3,2270,83.4,83.08,110,531,512,-0.30000000000001137,6.4,109,156,119,148,294,319,294
1043,605242,"Fulmer, Michael",1043,100,0.247,0.117,0.309,0.364,0.302,0.302,0.235,59,239,88.1,16.4,2312,90.9,91.35,138,480,563,0.5,6.48,110,156,115,148,300,328,294
1039,554340,"García, Yimi",1039,100,0.215,0.13,0.258,0.345,0.269,0.266,0.208,48,223,86.5,18.9,2424,91.1,90.1,120,497,542,-1,5.73,111,159,121,150,295,321,295
1036,676684,"Vest, Will",1083,95.7,0.254,0.096,0.314,0.351,0.292,0.301,0.234,58,228,87.1,4.8,2125,91.3,90.92,117,502,534,-0.3999999999999915,6.12,110,155,116,147,301,330,293
1035,608665,"Graveman, Kendall",1035,100,0.257,0.107,0.324,0.364,0.306,0.292,0.239,65,253,87.8,6.2,2265,93,93.21,129,474,561,0.20000000000000284,6.31,108,151,111,146,297,324,298
1032,663986,"Stephan, Trevor",1032,100,0.237,0.092,0.344,0.329,0.278,0.239,0.195,57,240,86.6,9.3,2172,91.5,91.24,183,519,512,-0.29999999999999716,6.56,111,153,116,148,293,314,291
1024,662253,"Muñoz, Andrés",1024,100,0.189,0.084,0.297,0.273,0.231,0.211,0.163,43,227,86.2,7.1,2248,92.7,92.98,233,558,466,0.29999999999999716,6.44,112,152,119,147,294,324,296
1023,661395,"Duran, Jhoan",1023,100,0.207,0.099,0.295,0.306,0.251,0.232,0.187,50,242,87.1,-1.3,2247,95.7,95.58,195,562,461,-0.10000000000000853,6.18,111,154,115,150,297,330,292
1022,656354,"Davis, Austin",1118,91.4,0.279,0.139,0.357,0.418,0.354,0.344,0.249,56,201,85.6,16.1,2238,87.5,87.32,120,465,557,-0.20000000000000284,6.25,109,152,118,149,289,326,294
